,index,name,diet,period,Lived In,type,length,species,link,Start Year (Mil. Years Ago),End Year (Mil. Years Ago),Existance Span (Mil. Years)
0,0,aardonyx,herbivorous,Early Jurassic,South Africa,sauropod,8.0m,celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html,199.0,189.0,10
1,1,abelisaurus,carnivorous,Late Cretaceous,Argentina,large theropod,9.0m,comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,74.0,70.0,4
2,2,achelousaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6.0m,horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,83.0,70.0,13
3,3,achillobator,carnivorous,Late Cretaceous,Mongolia,large theropod,5.0m,giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,99.0,84.0,15
4,4,acrocanthosaurus,carnivorous,Early Cretaceous,USA,large theropod,12.0m,atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,115.0,105.0,10
5,5,aegyptosaurus,herbivorous,Late Cretaceous,Egypt,sauropod,15.0m,baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,98.0,93.0,5
6,6,afrovenator,carnivorous,Early Cretaceous,Niger,large theropod,9.0m,abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,132.0,121.0,11
7,7,agilisaurus,herbivorous,Late Jurassic,China,euornithopod,1.5m,louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,169.0,159.0,10
8,8,alamosaurus,herbivorous,Late Cretaceous,USA,sauropod,21.0m,sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,70.0,65.0,5
9,9,albertaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,7.0m,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,80.0,75.0,5
10,10,albertosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9.0m,libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,76.0,74.0,2
11,11,alectrosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,5.0m,olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,90.0,70.0,20
12,12,alioramus,carnivorous,Late Cretaceous,Mongolia,large theropod,6.0m,remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,71.0,65.0,6
13,13,allosaurus,carnivorous,Late Jurassic,USA,large theropod,12.0m,fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,156.0,144.0,12
14,14,alvarezsaurus,carnivorous,Late Cretaceous,Argentina,small theropod,2.0m,calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,89.0,85.0,4
15,15,amargasaurus,herbivorous,Early Cretaceous,Argentina,sauropod,12.0m,cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html,132.0,127.0,5
16,16,ammosaurus,herbivorous,Early Jurassic,USA,sauropod,5.0m,major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,195.0,180.0,15
17,17,ampelosaurus,herbivorous,Late Cretaceous,France,sauropod,15.0m,atacis,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html,71.0,65.0,6
18,18,amygdalodon,herbivorous,Mid Jurassic,Argentina,sauropod,15.0m,patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html,177.0,169.0,8
19,19,anchiceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,74.0,70.0,4
20,20,anchisaurus,herbivorous,Early Jurassic,USA,sauropod,2.0m,polyzelous,https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html,190.0,0.0,190
21,21,ankylosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7.0m,magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,74.0,67.0,7
22,22,anserimimus,carnivorous,Late Cretaceous,Mongolia,large theropod,3.5m,planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,84.0,65.0,19
23,23,antarctosaurus,herbivorous,Late Cretaceous,Uruguay,sauropod,18.0m,wichmannianus,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html,84.0,65.0,19
24,24,apatosaurus,herbivorous,Late Jurassic,USA,sauropod,21.0m,ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,154.0,145.0,9
25,25,aragosaurus,herbivorous,Early Cretaceous,Spain,sauropod,18.0m,ischiadicus,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html,132.0,121.0,11
26,26,aralosaurus,herbivorous,Late Cretaceous,Kazakhstan,euornithopod,8.0m,tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html,94.0,84.0,10
27,27,archaeoceratops,herbivorous,Early Cretaceous,China,ceratopsian,1.3m,oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,121.0,99.0,22
28,28,archaeopteryx,carnivorous,Late Jurassic,Germany,small theropod,0.5m,lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html,147.0,0.0,147
29,29,archaeornithomimus,carnivorous,Late Cretaceous,Uzbekistan,small theropod,3.5m,asiaticus,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html,95.0,70.0,25
30,30,argentinosaurus,herbivorous,Late Cretaceous,Argentina,sauropod,35.0m,huinculensis,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html,90.0,0.0,90
31,31,arrhinoceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html,72.0,67.0,5
32,32,atlascopcosaurus,herbivorous,Early Cretaceous,Australia,euornithopod,3.0m,loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,121.0,97.0,24
33,33,aucasaurus,carnivorous,Late Cretaceous,Argentina,large theropod,5.0m,garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html,84.0,71.0,13
34,34,austrosaurus,herbivorous,Early Cretaceous,Australia,sauropod,15.0m,mckillopi,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html,112.0,99.0,13
35,35,avaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,2.3m,lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html,80.0,75.0,5
36,36,avimimus,omnivorous,Late Cretaceous,Mongolia,small theropod,1.5m,portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html,80.0,75.0,5
37,37,bactrosaurus,herbivorous,Late Cretaceous,China,euornithopod,6.0m,johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html,84.0,71.0,13
38,38,bagaceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.0m,rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html,85.0,80.0,5
39,39,bambiraptor,carnivorous,Late Cretaceous,USA,small theropod,1.0m,feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html,84.0,71.0,13
40,40,barapasaurus,herbivorous,Early Jurassic,India,sauropod,14.0m,tagorei,https://www.nhm.ac.uk/discover/dino-directory/barapasaurus.html,185.0,170.0,15
41,41,barosaurus,herbivorous,Late Jurassic,USA,sauropod,24.0m,lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html,155.0,145.0,10
42,42,baryonyx,carnivorous,Early Cretaceous,United Kingdom,large theropod,10.0m,walkeri,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html,125.0,0.0,125
43,43,becklespinax,carnivorous,Early Cretaceous,United Kingdom,large theropod,5.0m,altispinax,https://www.nhm.ac.uk/discover/dino-directory/becklespinax.html,142.0,132.0,10
44,44,beipiaosaurus,omnivorous,Early Cretaceous,China,small theropod,2.0m,inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html,127.0,121.0,6
45,45,bellusaurus,herbivorous,Mid Jurassic,China,sauropod,5.0m,sui,https://www.nhm.ac.uk/discover/dino-directory/bellusaurus.html,180.0,159.0,21
46,46,borogovia,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5m,gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html,84.0,65.0,19
47,47,brachiosaurus,herbivorous,Late Jurassic,USA,sauropod,30.0m,altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,155.0,140.0,15
48,48,brachylophosaurus,herbivorous,Late Cretaceous,USA,euornithopod,7.0m,canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html,89.0,88.0,1
49,49,brachytrachelopan,herbivorous,Mid Jurassic,Argentina,sauropod,10.0m,mesai,https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html,150.0,0.0,150
50,50,buitreraptor,carnivorous,Late Cretaceous,Argentina,small theropod,1.3m,gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html,99.0,90.0,9
51,51,camarasaurus,herbivorous,Late Jurassic,USA,sauropod,23.0m,supremus,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html,150.0,140.0,10
52,52,camptosaurus,herbivorous,Late Jurassic,USA,euornithopod,5.0m,dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html,155.0,145.0,10
53,53,carcharodontosaurus,carnivorous,Late Cretaceous,North Africa,large theropod,15.0m,saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html,98.0,94.0,4
54,54,carnotaurus,carnivorous,Late Cretaceous,Argentina,large theropod,7.6m,sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html,70.0,0.0,70
55,55,caudipteryx,omnivorous,Early Cretaceous,China,small theropod,1.0m,zoui,https://www.nhm.ac.uk/discover/dino-directory/caudipteryx.html,125.0,122.0,3
56,56,cedarpelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,10.0m,bilbeyhallorum,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html,142.0,127.0,15
57,57,centrosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,,https://www.nhm.ac.uk/discover/dino-directory/centrosaurus.html,76.0,74.0,2
58,58,ceratosaurus,carnivorous,Late Jurassic,USA,large theropod,6.0m,nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html,153.0,148.0,5
59,59,cetiosauriscus,herbivorous,Mid Jurassic,United Kingdom,sauropod,15.0m,stewarti,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html,175.0,160.0,15
60,60,cetiosaurus,herbivorous,Mid Jurassic,United Kingdom,sauropod,18.0m,oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html,170.0,160.0,10
61,61,chaoyangsaurus,herbivorous,Late Jurassic,China,ceratopsian,1.1m,youngi,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html,152.0,145.0,7
62,62,chasmosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,5.0m,,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html,76.0,74.0,2
63,63,chindesaurus,carnivorous,Late Triassic,USA,small theropod,4.0m,bryansmalli,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html,227.0,210.0,17
64,64,chinshakiangosaurus,herbivorous,Late Jurassic,China,sauropod,11.0m,zhongheensis,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html,159.0,142.0,17
65,65,chirostenotes,omnivorous,Late Jurassic,Canada,small theropod,1.7m,pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html,79.0,67.0,12
66,66,chubutisaurus,herbivorous,Early Cretaceous,Argentina,sauropod,23.0m,insignis,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html,112.0,99.0,13
67,67,chungkingosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,4.0m,jiangbeiensis,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html,159.0,142.0,17
68,68,citipati,omnivorous,Late Cretaceous,Mongolia,small theropod,2.1m,osmolskae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html,81.0,75.0,6
69,69,coelophysis,carnivorous,Late Triassic,Zimbabwe,small theropod,2.0m,,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html,225.0,190.0,35
70,70,coelurus,carnivorous,Late Jurassic,USA,small theropod,1.8m,fragilis,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html,155.0,145.0,10
71,71,coloradisaurus,omnivorous,Late Triassic,Argentina,sauropod,4.0m,brevis,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html,221.0,210.0,11
72,72,compsognathus,carnivorous,Late Jurassic,Germany,small theropod,0.65m,longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,145.0,140.0,5
